pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
28151,"8.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28171,"2.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28173,"3.717,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28173,"3.717,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26398,"2.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26398,"4.400,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
26439,"22.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28216,"2.200,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
26442,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26442,"15.000,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
26442,"21.000,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26396,"20.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26396,"10.000,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26436,"40.672,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
26436,"154.328,00",Boleto,6,"R$ 11,94",,,,,,,,,,,
28224,"5.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28224,"2.460,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26445,"2.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26445,"6.000,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26444,"14.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28177,"4.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28177,"23.740,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26446,"14.370,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28225,"400,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28225,"3.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28225,"4.890,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28174,"5.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26400,"800,00",Débito,1,"R$ 11,52",,,,,,,,,,,
26400,"800,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26441,"9.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26441,"10.000,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
